level0: MainScene
level1: Factory_AI
level2: Factory
level3: Factory_Scripts
level4: custom_AI
level5: custom_multiScene
level6: custom_AZS
level7: custom_AZS_old
level8: custom_DesignStuff
level9: custom_Garage
level10: custom_Obshezhitie
level11: custom_Obshezhitie_1_indoor
level12: custom_Obshezhitie_2_indoor
level13: custom_Light
level14: custom_Road
level15: custom_Scripts
level16: custom_Tamozhnya
level17: custom_Terrain
level18: custom_TrailerPark
level19: custom_background
level20: custom_city
level21: custom_factoryStorageZone
level22: custom_mazuto
level23: shoreline_02
level24: shoreline_AI
level25: shoreline_Terrain
level26: shoreline_azs
level27: shoreline_barja
level28: shoreline_baysecurity
level29: shoreline_DesignStuff
level30: shoreline_garden
level31: shoreline_hydro_station
level32: shoreline_meteostation
level33: shoreline_parking_sanatorium
level34: shoreline_pirs
level35: shoreline_pirs02
level36: shoreline_sanatorium
level37: shoreline_sanatorium_indoor_optimized
level38: shoreline_scripts
level39: shoreline_swamp
level40: shoreline_tunel
level41: shoreline_village
level42: woods_AI
level43: woods_combined
level44: CommonUIScene
level45: EnvironmentUIScene
level46: GameUIScene
level47: LoginUIScene
level48: MenuUIScene
level49: PreloaderUIScene
level50: SessionEndUIScene
level51: Empty_DONT_DELETE
level52: Shopping_Mall_DesignStuff
level53: Shopping_Mall_Scripts
level54: Shopping_Mall_2
level55: Shopping_Mall_GOSHAN
level56: Shopping_Mall_IDEA
level57: Shopping_Mall_OLI
level58: Shopping_Mall_Shops
level59: Shopping_Mall_Shops_Floor2
level60: Shopping_Mall_indoor
level61: Shopping_Mall_indoor_buildup
level62: Shopping_Mall_outdoor
level63: Shopping_Mall_Terrain
level64: Shopping_Mall_light
level65: Shopping_Mall_parking_work
level66: Shopping_Mall_AI
level67: Laboratory_Scripts
level68: Factory_DesignStuff
level69: Factory_Day
level70: Factory_Night
level71: Laboratory_work_zone
level72: Laboratory_relax_zone
level73: Laboratory_Medical_corridor_toilets_floor_1
level74: Laboratory_Office_Above_Boiler_Room_floor_1
level75: Laboratory_Medical_corridor_toilets_floor_2
level76: Laboratory_Medical_block_floor_1
level77: Laboratory_Medical_block_floor_2
level78: Laboratory_Medical_corridors_ladder_walls
level79: Laboratory_Medical_corridor_floor_1
level80: Laboratory_Medical_corridor_floor_2
level81: Laboratory_Recreation_toilets
level82: Laboratory_Hangar
level83: Laboratory_Server_Room_floor_1
level84: Laboratory_Server_Room_Corridor_floor_1
level85: Laboratory_ControlServerRoom_floor_2
level86: Laboratory_parking
level87: Laboratory_Cafe
level88: Laboratory_Gym
level89: Laboratory_reception
level90: Laboratory_Office_block_toilets
level91: Laboratory_Boiler_Room_floor_1
level92: Laboratory_Office_block
level93: Laboratory_parking_corridorL_floor_1
level94: Laboratory_Recreation_corridors
level95: Laboratory_parking_corridorR_floor_1
level96: Laboratory_Presentation_room
level97: Laboratory_Research_Test_Room
level98: Laboratory_RnD_lab
level99: Laboratory_basement_corridors_01
level100: Laboratory_basement_corridors_02
level101: Laboratory_Accumulation_collector
level102: Laboratory_basement_Collector_tunnel
level103: Laboratory_Security_block
level104: Laboratory_basement_Electropanelboard_room_01
level105: Laboratory_basement_Electropanelboard_room_02
level106: Laboratory_basement_Thermal_point
level107: Laboratory_basement_Boiler_room_02
level108: Laboratory_basement_Autonomous_power_station
level109: Laboratory_basement_Ventilation_room_02
level110: Laboratory_basement_Bunker
level111: Laboratory_basement_Electropanelboard_room_03
level112: Laboratory_Collector_Exit
